,Utterance
8276,你知道我小的时候我经常拍挂历上饼干桶
8278,所以他考上几率大一些
8545,蒜油他们是拿椰子油做的很健康
8546,拿面包蘸着吃才好吃
8547,来试试
8679,为什么 说
8680,怕什么说说 我保证不生气
8681,保证
8682,好不好
8723,吃完了我还说带你去试一下那条裙子
8724,你还真是很少穿裙子
8725,现在整天穿校服
8726,像个小男孩似的可不行
8727,粉颜色喜欢吗还
8728,我看紫色的 我觉得还行
8752,这个就是爸爸当年上高三的时候学习方法笔记
8753,你看看
8764,今天咱们俩聊聊
8765,爸爸找这个本子的时候
8766,就想起爸爸当年高考的时候的很多事
8775,爸爸当年能考上大学
8776,那是幸运的
8777,当然也不全都是幸运的
8778,也是爸爸努力和实力的体现
8779,对吧
8780,对
8781,你说当年考大学那么难
8782,爸爸为什么能够脱颖而出呢
8783,爸爸就是有很好的学习方法
8784,你看 上半本是爸爸第一年高考的时候总结的经验
8785,后半本这个时候就是第二年参加高考的时候
8786,搞的学习体会 犯过的错误就不能再犯了
8790,当然了
9185,要不然
9444,傻子
9445,什么叫你绝对不会出国
9745,不是张亮忠，你真行，你
9759,我不怕缺德
9760,不是不是你说你说，我听着怎么缺德
9847,那倒是，我们家琴琴真的是我最大的安慰
9874,我记得你那天哪天，想把方圆他爸那房子就挪到离你们近点
9875,你看我们家那房子怎么样
9876,你要真是觉得行
9877,咱们就商量商量
9878,你说呢
9920,我说你
9921,你就大胆的往前走
9922,那个每天想吃点什么喝点什么
9923,需要什么就跟我说
9924,必须把你娘俩
9925,伺候得踏踏实实得
9926,踏踏实实的
10256,搞定
10684,与时接进看我告诉你要不跟我走
10685,我就把你刚才勾搭那小医生的那些事
10686,我全告诉你媳妇行不行
10813,怎么样
11336,不是，这是我给你买的
11337,是我给你的礼物跟你妈没关系
11530,你这是不想让你老爸知道你这分数
11531,拿我糊弄事的
11635,一个星期就变那么大了
12660,我跟你说我小时候比我姐漂聪学习还好
12674,是吧
12675,当然
12701,我打听一下
12702,为什么出什么事儿
12826,姐你看要不我们家老金你给安排你给你打个下手什么的
12827,我跟你说他现在可要求上进了
12828,真的
12830,想
12839,我觉得要是安排职务太低了
12840,不是也给你丢脸吗
12841,是不是
13285,别的咱不吹
13286,你要说论酒量
13287,我说第二我看
13288,看谁敢说第一
13289,今儿我让你好好见识见识
13290,咱们必须他一举拿下
13963,我告诉你出了国哈佛耶鲁的文凭随便拿
13964,到时候留下想回来
13965,回来把简历往中华英才网上一放
13966,世界500强马上就来找你
13967,净给自己的就是不思进取
14688,我爱你
14689,妈妈非常非常爱
14755,所以你说小宇孩子多可爱
14756,这个年纪正是青春期
14757,往后你还真得多照顾他的情绪
14758,特别是现在生了老二以后
14759,以后张总可是任重而道远
16766,谁呀
16768,你这有意思吗
16859,不用客气
16860,这个配比很科学
16861,能满足每天所需的营养
17546,你把地址给我吧
17710,嘿嘿
17711,你这个人可真行啊
17712,真是让我开眼
17714,你还是走吧
17715,我是不会跟一个失约的人在一起谈合作的
18605,我为什么要这么做呀
19057,那我可是行家啊
19058,我最近又发现一款新彩票
19059,怎么着
19060,你要是愿意我带你入入门
19061,戒了
19067,彩票还不科学
19070,那我听听 你现在搞什么别的呢
19905,怎么样
19906,有消息了吗
22735,当然了
22736,我理想中的婚礼就是这样的
22737,两家人在一起简简单单吃个饭
22738,把办酒席的钱拿出来去国外旅行
22779,生日快乐
22782,恭喜你升职
22789,晚上一起吃饭
22790,还有我两个好朋友
22850,你小孩几个月了
23223,谢谢你 阿姨
23465,庆祝一下
23884,那是值得庆祝 拿吧
23915,真是女大十八变越好看
23933,谁能承想你长成这样
24041,您是给女朋友买的吧
24045,是这样的
24046,那一款已经断货了
24047,这样我给你介绍一款别的
24196,你父母身体怎么样
24204,头发挺好
24205,你不脱发吧
24715,千万别谢 再说了
24716,我也没帮你什么忙
24717,你能陪我去帮了挺大的忙了
24861,什么你妈我妈的
24867,我去换件衣服
24970,你不知道吧
24971,处处是八卦
24972,遍地是奸情
24997,搞定
25022,那快吃
25023,我记得上大学那会儿咱们
25024,老吃
25025,后来好久都没吃了
25030,我天天给你买
25031,好吃吗
25033,小北
25034,以后咱们俩一根绳上的蚂蚱
25035,我的责任就是
25036,宠着你
25037,哄着你
25038,惯着你
25039,是吗
25269,你不知道爱情的力量
25274,随便去哪
25275,你在这我不好意思找他聊天
25277,我出什么院
25278,这儿有我喜欢的男生
25279,我待会打石膏去
25438,我们家成成连婚都没结
25439,以后你们可以管他叫准爸
25454,我决定用实际行动征服他
25455,用一个星期的时间化同情为爱情
25481,你不懂这种传统男人最优秀了
25482,而且很稀有
25483,比熊猫还稀有
25490,他一会还来吗
25523,我坐这合适吗
25545,尤其是医生对病人真的是太好了
25549,好好你快回来
25551,我来还你的书
25556,谢谢
25558,还行好多了
25560,一个人太闷了
25561,找个人说说话
25563,不是
25564,不是不是
25567,我最近有点情感的困扰
25568,想跟你聊聊
25583,你谈过几次恋爱
25584,是不是问的太多了
25653,你要是有什么需要就给我打电话
25654,肯定比特快专递都快
25660,我是谁
25689,老黄
25702,那是 你也不看是谁一手调教的
25712,我调教的人我放心
25794,你不是一直把我当男的看吗
25795,吗
25828,你快跟我说说
25829,你都是怎么对成医生展开攻势的
25830,可高级了
25831,我跟他借书来着
25839,钱钟书老先生很了解我
25907,我那剧本好像通过了
25911,我假装是你助理
25912,你放心不到关键时刻我肯定不张嘴说话
25994,别动 我来 你别动
25997,你就去看电视
25998,今天晚上乖乖的坐在那看电视
25999,你今天怎么了
26000,一条龙服务包你满意
26193,我很正经
26195,有
26196,我要是没有你这
26279,好 这事我擅长 说
26324,再坏的都已经经历了
26325,都已经跌到谷底了
26326,还能差到哪去
26333,王媛 王媛
26334,你怎么来了
26335,你一个人我顺便我看看
26366,打包带走
26384,肯定是你追的
26426,羽墨你好
26669,可太好了
26679,你收我当徒弟好不好
26711,怎么了
26712,唉声叹气的
26733,阿姨你
26734,不但会功夫还会英语呢
26735,你真厉害
26748,对 我不说 我保证不说
26755,没有 可好了
26804,表现得可好了
26805,老师都表扬我
26806,你今天画什么了
26807,我今天画的是我们一家人
26808,我画的有爸爸妈妈
26809,还有我
26810,真棒
26813,真的吗
26822,妈妈穿米老鼠的最漂亮了
26854,还好最近我有更重要的事
26855,什么事情
26859,闭关呢
26869,因为我觉得成晓峰可能会喜欢我淑女的样子
26936,都穿上了
26937,就买了一套
26974,快来尝一尝我亲手为你煲的汤
26976,赶快尝一尝
26977,尝尝快尝尝
26978,好不好喝
26980,你别停
26981,你接着喝 汤凉就不好
26982,好喝了
26983,你说你天天加夜班
26984,对身体多不好得补一补是吧
26986,好喝就行
27015,我也没睡懒觉习惯
27046,你知道我笑什么吗
27047,笑什么
27048,大西瓜
27049,你不能再胖了胖子
27108,幸亏你告诉她有每天跑步的习惯
27109,不然我还不知道怎么约他
27110,第一天跑步就碰上他了
27111,我们约好了每天早上一块跑步
27162,说实话我还是第一次找工作
27163,遇到不用面试的
27234,这是我名片
27238,你得叫我张总 要是做的好
27239,以后升职是不成问题的
27251,不是 你多少斤
27252,说实话
27301,行
27311,你笑什么到底什么事那么神神秘秘的
27312,我给你带来一个好消息
27313,什么好消息
27314,我帮你找了一个工作
27315,特别适合你
27316,而且我跟那边联系了
27317,只要你后天拿上简历过去 肯定行
27388,他就那样 多动症
27409,看他表情了没
27430,挺好的
27446,我觉得胖子现在全身心全扑你身上了
27447,可怜的胖子
27448,胖子
27494,这可是你说的我记住了
27495,这么快就不受伤了
27514,女孩子就是那么爱面子
27516,我知道 我就是你要等的那个人
27517,送给你
27519,两情要是相悦
27520,为什么要饱受思念之苦
27521,文静
27522,我答应你
27523,从今天开始我再也不会让你离开我
27525,我就是要向你求婚
27527,文静
27528,我爱你
27529,嫁给我
27571,我先走了
27596,我约好告诉你
27597,好
27619,你今天约我出来就是为了讨伐我
27625,就这个
27631,听你的
27675,好
27676,我都好久没得吃过家乡菜了
27678,不用你动手
27679,我来做
27680,我让你尝尝我的手艺
27682,这还差不多
27695,我前两天办了个美容卡
27696,我一直在做美容
27697,我觉得
27698,皮肤最近特别好
27699,你给我看看怎么样
27787,妈
27789,没得啥子事了
27790,都是小毛病
27791,可能要住几天院
27810,早上好
27812,是吗
27813,祝你一路平安
27821,多不好意思
27823,行等你回来
27882,这么高兴 还不让看
27883,秘密邮件 你吃饭了没
27923,阿姨
27924,要不咱俩说条件
27926,你要是把饭吃了
27927,明天我也给你买个平板电脑
27928,你也能想看什么就看什么
27929,好不好
27931,赶紧吃饭
27932,好吧
28045,谢谢啊
28046,瞎客气啥呀
28050,就你懂我
28051,讨厌
28128,甜甜最爱吃面包一样
28129,所以这种树就叫猴面包树
28143,小唐唐
28147,真不错
28148,当上医生了
28161,下班以后咱俩去吃个饭我请客
28163,你说什么
28166,刚交个女朋友特别黏人
28167,晚上还得回去陪他
28168,终于找女朋友了
28170,别人介绍的
28171,挺投缘的
28172,恭喜你
28173,好好处
28241,你今天生日
28245,这样我给你庆祝生日
28247,生日快乐
28300,噔噔瞪
28301,给你拿瓶酒
28302,这么多菜
28303,我知道你要喝马天尼起泡酒
28304,顺便给你买了一瓶 红烧鱼
28328,如果你不介意的话
28329,咱们就在家吃
28330,你看我做了这么多的菜
28331,一会他醒了让他走
28332,我不介意 这么多菜不吃才可惜来
28334,对来你尝尝
28335,好
28336,好吃吗
28337,辣子鸡 地道 味绝了
28338,这鱼也应该挺好
28339,凉了吧
28340,没事
28449,万婕 你好
28450,我是王媛
28518,我先走了
28554,太好了
28582,那真是太好了
28583,我就怕你瞧不起我
28584,听你这么说
28585,我心里真是放了一块石头
28586,不说这个了
28587,我请你吃宵夜去吧
28596,姐姐你放心
28597,我要真有那一天
28598,第一个感谢的人就是你
28599,我不打扰了
28600,我先走了
28942,阿姨好
28943,你好
28944,坐
28945,谢谢阿姨
28946,我是王媛的朋友
28947,听说您身体不舒服
28948,过来看看您怎么样好点了吗
28949,在这还适应
28950,还好
28951,就是天天打针
28952,心烦
28953,你跟我们王媛
28954,是啥子关系
28955,我们认识好多年了
28956,老朋友了
28957,你干啥子工作
28960,阿姨 我不是大老板
28964,她们两个出去吃饭去了
28966,朋友
28967,女朋友
28973,不好意思
28976,别客气
28977,阿姨
28987,媛媛 回来了
28989,彭总 人家来看我 他是你朋友
29094,我就是要对你负责任
29095,你为了我把婚都离了
29104,那当然了
29105,不然你为了谁
29155,彭总来了 来 快坐
29156,都能下床了
29157,快坐
29160,小彭这小彭
29162,身体还好还能吃得下
29163,就是这里
29168,不用
29169,我这里不舒服
29178,我都那么大岁数了好不好
29179,就那个样子了
29180,你们不一样的
29181,你们还那么年轻
29182,要多考虑自己的事
29183,不要一天到晚都忙到工作应酬
29196,让你多吃点嘛
29208,胖子 你认识彭总不
29211,彭总那个人真的是很不错
29212,年轻有为
29213,事业有成
29214,跟我们媛媛真的很般配
29215,昨天中午彭总 你看我这个记性
29216,他喊我叫他小彭
29217,昨天小彭跟媛媛出去吃饭去了
29219,要是媛媛能够嫁给小彭
29220,我真的就很心安了
29221,而且他还可以给我们王义在城里头安排一份工作
29222,你看小彭开那么大的公司
29223,要是安排一个人是不是一句话的事吗
29301,哎哟
29431,你这有车不开
29432,每天陪我走路上班
29433,快走烦了吧
29434,一点都不烦
29437,你有没有想过未来是什么样子
29438,没有
29450,怎么样
29451,环境不错
29452,以后常来
29462,给你准备的水果
29463,来
29464,坐下
29466,吃一口
29511,老江 这回玩的怎么样呢
29519,姜还是老姜辣
29520,聪明睿智帅不帅
29521,帅不帅
29561,起了
29562,叫小七
29563,小七
29564,走吧
29565,小七
29567,吃饭了啊
29568,来
29569,小七
29570,李理. 咱俩认识多长时间了
29572,得有七八年了
29603,没有
29604,比起那天在我们家 这哪
29605,哪算吓人
29634,反正你现在也没人要了
29635,我就先接手过来
29636,我先照顾一段时间
29637,我就当扶贫了
29638,照顾你要觉得好就继续
29639,你要觉得不好
29640,你愿意跟谁 跟我也没关系
29643,这样
29653,能耐哪去了
29654,那天在我们家脱得给我吓坏了
29686,行啊你 二十四孝女婿
29733,没有
29734,你可不能听信什么谣言
29776,我跟李理在一起了
29777,怎么了
29778,这不是模仿你的做事风格吗
29779,先斩后奏
29781,那是什么事
29818,那提李理 说说怎么突然跟他好
29820,怎么对你好了
29829,谁说不提他的
29887,你有情绪就冲我发
29889,那就得了
29948,你尽管开口我尽量做到
29949,不帮倒忙好吗
29955,老婆
29963,现在看来我的想法太简单了
30039,别生气
30065,咱两出去庆祝一下
30066,咱们两个人一人一杯奶茶
30067,再来一盒甜甜圈怎么样
30069,好
30070,你吃
30071,你吃吧莹莹
30113,你说咱们邻居是干什么
30114,那件衣服看着很普通
30115,可是穿她身上
30116,好看死了
30121,不过能送这么好的巧克力
30122,别的东西肯定也便宜不了
30130,不过我看到小曲那么热情的跟咱打招呼
30131,我顿时就不生气了
30132,再说了还有这么好吃的巧克力
30133,再来一个
30137,把这些照片摆出来
30138,这张不错
30157,有志气
30228,谁赢了
30229,当然是我了
30230,我这么舍得下本钱
30231,再加上我妈在旁边煽风
30232,我爸不可能不买账 过不了三天 他肯定给我个老总当
30245,把地址发给我
30246,晚上我们见
30251,穿你上次十点在唯品会抢的那件衣服
30252,那件
30253,是这件吗
30254,高端大气上档次
30255,低调奢华有内涵
30256,bingo
30257,姐姐我要换衣服了
30387,樊姐
30388,你真好
30407,怎么样樊姐 我这身 好看吗
30408,好看 再配一条夸张点的项链应该会更好看
30488,他没车
30489,而且我觉得我们俩坐地铁挺好的
30490,我们俩可以近距离接触一下吗
30497,我就是这样
30498,我就觉得
30570,双美同乘
30571,男人征服欲爆棚
30572,你看你旁边那辆车已经跟了我们三个红绿灯了
30573,他们想干嘛
30574,很简单
30575,他们想证实虽然车没有你好
30576,但是他们技术过硬
30577,压了咱们一路
30578,寻求合适的时机
30579,看看能不能勾搭上
30588,我觉得你也是个很有趣的人
30592,要不是今天晚上这几只兴奋的猫
30593,我都快不记得这世界上有荷尔蒙这种东西了
30601,网友
30627,说实话是不是在暗恋呢
30634,我跟你开玩笑干嘛那么紧张
30635,既然大家都在上海
30636,为什么不找个时间见个面吃个饭呢
30681,去看电影了
30683,看完电影去K歌
30684,然后呢
30685,然后就吃宵夜了
30686,这个白主管今天是大出血了呀
30687,还好吧
30688,我们俩都是团购的
30689,电影是团购的
30690,K歌也是团购的
30691,对了
30692,K歌包房里还送小蛋糕
30693,下次
30694,我带你去 性价比特别高
30724,我这得赶紧把这咖啡准备好了
30725,还有纸和笔记本
30737,你不承认我也要谢谢你
30738,等我把这里忙完了
30739,请你去吃早餐
30764,等我的好消息
30781,但是现在很多奉子成婚
30826,有什么不合适的
30827,他们人都特别好
30836,反正你一会见了你就都知道他们
30838,早啊
30839,小蚯蚓
30840,关关
30877,比如说你看
30878,那儿有堆垃圾
30879,你需要把垃圾倒一下
30942,还有就是离你公司一定要近
30978,最主要是尝试联系你
30979,真的
30980,很让我惊喜
30981,多个同学来上海
30982,我也很高兴
31044,还行才排了半个多小时
31045,你高兴就好
31046,不生气了
31047,看你表现
31048,还是看我表现
31067,网友
31068,怕自己中文退化
31069,在论坛练笔认识的
31115,怎么
31116,跟你想象的不一样
31117,像一个混网络的怪叔叔
31120,2D 3D版总有区别 习惯了就好
31121,现在有一点熟悉的感觉
31122,那就好
31141,是挺荤的
31278,怎么会
31279,我一会要上插花课正准备出门
31285,老同学说话
31286,没空也得有空
31296,拜拜
31353,找不着
31354,随时打电话给我
31355,我就是你的GPS
31421,喝了这个就能变漂亮了是吧
31436,真的吗
31437,那是我老板的车 被我抢过来了
31438,我们认识10年了
31439,我记得我从博士毕业之后就跟他在一起工作
31440,他是个处理复杂关系的天才
31454,我很开心
31484,你安慰人的方式很特别
31485,恰恰相反
31486,我不认为你需要安慰
31487,呵呵
31504,但是他这事干的爽
31505,仗义
31506,姑娘们要都像他这样的话
31507,这世界上的猥琐男至少少一半
31508,我帮纯粹对事不对人
31556,这就是你上次说的流浪猫
31557,对啊 这个是你上次说的大白猫
31558,他叫白粉丝
31559,这个黑的是黑猫警长
31560,这曲小五 这曲二妞
31561,曲家原来人家这么兴旺
31562,上次你说的时候我还以为你骗我
31620,也不算是约会
31621,我那个同学又来上海 说要晚上
31622,约我一起聚聚
31623,樊姐 我觉得那个人挺喜欢你的
31624,上次你们一起吃饭的时候
31625,他眼睛就没离开过你
31626,我觉得你可以考虑 总比那些只看条件的强
31680,有时候听你说话真的挺好玩的
31700,我相信一定把你的狗尾巴草包装的独一无二了
31705,Andy我爱你
31711,高
31722,怎么样
31723,还可口吧
31724,这儿的菜还真好吃
31741,爽快
31745,注册公司
31746,注册公司
31750,好
31757,我明白了
31817,当老板的无以回报
31818,所以只好舍命陪君子了
31961,然后他们就把我拉到了一个同学会的群里面有特别多的人
31962,然后我就想看看大家都聊什么
31963,聊得那么高兴
31964,然后我就翻聊天记录
31965,我翻着翻着我就睡晚了
31966,樊小妹之前教过
31967,我一个俚语
31968,没事
31969,开个同学会 拆散一对是一对 是这样吗
31970,读书的时候有没有喜欢的人
31999,什么时候吃饭
32000,饿了
32006,好
32007,小王啊
32008,小关
32009,小关 怎么了
32010,不认识了
32011,当年在文学社我还做过你们社长
32012,我怎么可能不认识林师兄
32013,我还怕师兄忘了我
32014,怎么会呢
32015,你看 就在前面 走吧
32016,你说你也太不够意思了
32017,要不是听你们班的人说起来
32018,我还不知道你也在上海
32019,听说你进华鑫证券了
32020,厉害
32021,我有个朋友考了好多证
32022,最后都没能进的去
32027,林师兄啊
32029,这有什么 小姑娘不会喝酒很正常
32035,果然是个好姑娘
32037,当然是在夸你了
32038,我怎么会损你呢
32042,还是你这样的好
32043,乖乖巧巧的
32044,一点也不麻烦
32054,好
32060,怎么样好吃吗
32061,好吃
32115,我爸已经走了 回家了
32116,那什么
32117,这些书还有盘全是我爸给我买的
32118,都是我鼓励我学习上进的
32119,你看 这本书 做最好的自己
32120,我没看之前我真的什么都不懂
32121,看完以后我觉得我自己干劲特别大
32277,我已经正式和GI方面达成了合作协议
32278,刚把史密斯先生一行人送走
32279,随着他们的离境
32280,GI项目将正式翻开新的篇章
32294,打算给多少
32295,这样 筱绡
32296,咱换辆车行不行
32297,200万以内的你随便挑
32302,行没问题
32303,筱绡 爸爸再去给你订一桌你最爱吃的鲍鱼
32304,晚上跟你妈吃个饭
32305,晚上我才不跟你们吃饭
32306,我要答谢恩公
32309,恩公 就是那天打电话指点你的那位高人
32310,要不请你那位恩公一起吃个饭
32311,我们全家人来感谢他
32312,才不 人家是大美女
32313,不能让你看见
32314,好好 你忙
32315,你忙 筱绡 我和你妈随时等候接见
32318,就这样
32319,筱绡姐
32320,你跟我们安总是朋友
32321,想打听我跟安总的关系啊
32333,这有什么好奇怪的
32334,他那是在跟我说话帮我忙
32335,你说说 他对我这么好
32336,为了帮我连工作都顾不上了
32337,这能是普通的关系吗
32338,我说难怪呢 筱绡姐
32339,我帮你倒杯水去
32340,筱绡姐
32346,一个特别能闹腾的邻居
32350,一进门就崴了脚
32351,所以我让小王送他去医院了
32352,那是挺逗的
32356,要是是别人我不知道
32357,但是曲筱绡不用担心
32358,你没见过他
32359,古灵精怪的
32360,只有他欺负别人的时候
32361,从来都没有别人欺负他的时候
32362,而且他也不会小肚鸡肠
32365,不错
32366,是跟以前有点不一样了
32368,有朋友了
32369,不像你在美国的时候连个说话的人都没有
32380,要我说你就应该住在欢乐颂那个地方
32381,多认识一些人
32382,才会发现生活除了工作以外还有很多重要的事情
32412,没有了
32414,我走了
32415,怎么
32416,想给医生打电话
32421,所以我一定要忍住
32422,把他的好奇心吊到最高点再下手
32423,好不容易遇到个这么喜欢的 一击
32424,而中才是我的性格
32438,真是个小滑头
32446,你说为什么你追赵医生
32447,我一点都不觉得猥琐
32450,那是因为我知道自己要什么 不要什么 什么担得起
32451,什么担不起
32452,拿得起放得下
32453,Andy不瞒你说
32454,要是你有喜欢的人
32455,拿过来
32456,我给你过眼
32457,合不合格
32458,我一眼给你下定论
32459,有没有啊
32462,Ok. 
32515,我带你去个好玩的地方
32533,欢乐颂小区
32534,到了打我电话
32538,你还真是童心未泯
32539,不过这个地方做的还真的挺逼真的
32540,对啊
32541,这儿见证了地球46亿年的变迁
32542,还有好多奇观呢 前面还有一个地震体验区
32543,敢吗
32544,Sorry
32545,敢吗
32546,你觉得我像不敢的人吗
32549,故弄玄虚
32559,那边好多游戏
32560,你行吗
32562,要比赛的
32563,没问题
32572,不错
32574,你太棒了
32575,一点点
32576,再来一次
32577,没关系
32578,你看
32579,赵医生资料
32580,本地人不是凤凰男
32581,加分
32582,未婚加分
32624,樊姐 你看我穿这身怎么样
32626,不过呢
32627,得把这上面这几颗扣子给解开
32636,当然 姐姐我眼光这么高
32637,难道碰到一个这么喜欢的人 容易嘛我
32699,小关
32700,怎么样
32701,回家的东西都收拾好了吗
32717,到哪了
32736,你别着急
32740,喂小美
32741,我到了
32742,你到了
32743,1804
32744,知道了
32745,马上上来
32746,柏川
32747,在上海有几个咱们高中的一些校友
32748,我们有空的时候会聚一聚
32749,你看哪天有空我约他们一起去聚
32756,再说我怕你应酬多嫌麻烦
32761,小美如果可能的话
32762,我希望最近多多和你在一起
32763,一会我自己打车回去
32764,你累了一天了
32765,早点回去休息
32769,对了
32770,明天是周末
32771,我明天一早去接你
32774,明天我和闺蜜有差茶叙
32775,后天
32776,后天
32777,我有陶艺课
32791,小美
32792,又怎么了
32793,我给你买了一个包
32794,你说这段时间我老麻烦你 实在不好意思
32795,希望包
32796,你能喜欢
32799,犒劳我的
32800,下不为例
32801,你这个人
32802,很配你的
32803,干嘛这样真是
32804,太客气了
32805,行了
32806,你回去
32807,每次都是你送我
32808,这次我送你
32809,好
32810,Bye bye
32811,拜拜
