,Utterance
405,否则适得其反
414,你妈多好
415,天天笑呵呵的又温柔又慈祥
419,你别急
444,真把你打坏了
483,大数据，它根据你高一高二历次考试这些东西
484,它判断一下你到底是一个什么级别的
485,如果你是一个好分子肯定让你考
486,但如果你是个坏分子的话
487,分母都不让你当直接让你蹲班
490,他现在没有成为坏分子
491,他是介于好分子跟坏分子之间
492,这就是学校担心的地方
493,所以跟咱商量是不是要蹲一年的班
494,蹲一年班给你一年时间
495,争取你成为好分子
496,直接去参加高考
497,就这道理
509,唯一乐观的就是这磊儿来了说不定能带带方一凡，是吧
510,那也不一定也可能方一凡
511,把磊儿给拉沟里去了
512,你刚批评我不要觉得太悲观
513,你乐观，现在怎么突然你悲观
514,我乐观起来呢
515,反正这事总体来讲不乐观
529,大晚上都不回家住宾馆
530,还说为了孩子上个学近，谁信
531,这官当的
535,你微信上说他又闯祸了
536,怎么回事
540,你还是要提醒他
541,以后少惹事
542,没超标吧
543,超不超标的是咱自己花钱什么好担心的
555,真没看清楚
556,两个多月过去了
557,他的成绩有没有在提高
565,真的
569,等等
570,这个群里有多少人
574,别加了
578,我就不加了
579,早就知道是这样
603,后来长大了就没联系了
606,反正小的时候我学习成绩比较好
607,他学习成绩一般
613,没听明白你什么意思
633,你主动点
665,后来我同意了
666,我连你的这些补习班我都给你找好了
689,你真这么想
690,我真这么想
691,绝不蹲班
692,那你得拿出态度来
694,手机是不能再玩了
695,游戏不能再玩了
696,电影也不能再看了
697,你要不想让人瞧不起你
698,是不是得把所有的精力都放在学习上
701,咱说认真的
702,要到时候真的不行了
703,咱就复读一年
713,我们是一个很普通的家庭
714,爸爸妈妈没有任何背景
715,我们也没有任何关系
716,我们就指望你通过高考鲤鱼跃龙门了
717,龙门你要跃过去
718,你会改变你一生
719,爸爸妈妈能做什么
720,我们做的这些是为什么
721,我们不是为我们自己
722,我们就是为了你给你提供一个好的条件
723,让你跨过门槛
724,将来你有一个好的学历
725,你终生受益
726,妈我有个问题
727,您觉得学历重要还是真本事重要
728,真本事重要
729,但是你先拿你的真本事给妈妈对付的学历
730,你只要考上大学
731,妈妈保证你做什么妈妈绝对不干涉
732,只要不是违法乱纪的事情
733,但是之前你先考上了大学
735,妈你也别担心了
743,怎么了
775,干嘛还烦你一脑门子官司
785,因为要方一凡蹲班
787,因为不让他蹲班
814,飞机要赶不上了
816,都赖你 晚上喝什么红酒
817,快快
889,看着不像一家人呗 那拍照片的
890,哪知道谁是谁一家
891,我给你端菜去啊
892,好的
901,昨天是我不对
902,我不应该跟您急的
939,不想去看
940,没有 特别想去看
1015,你们是有1/4血缘关系的兄弟
1016,我们是有1/4血缘关系的兄弟
1017,我们是兄弟
1018,你要照顾好他
1019,你不需要那么清楚的了解他
1020,但是你要带他清楚的了解学校听明白没有
1021,赶紧洗澡
1022,不许玩手机
1041,不是我有你1/4
1042,不是也不对
1043,我妈怎么说
1134,没有
1139,我赶紧做饭去
1147,没什么事
1148,那部蚁人 你还没看过吧
1150,下周要是有时间
1151,妈妈请你看一下
1172,可能当年我们就不应该走
1173,至少我应该留下来
1174,老季你有没有想过这些年咱们是怎么过来的
1175,咱们两个去过安徽、山东、江西
1176,还援过青海
1177,你这官位是步步高升了
1178,可咱们跟杨杨的日子越来越少了
1179,一开始是把孩子先放到你的父母
1180,你妈去世了
1181,又放到我爸妈那儿
1182,孩子说的没错
1183,咱们两个就没尽到当父母的义务
1184,没有权利说他
1185,我承认
1190,可是到了这个岁数回过头来想一想
1191,业是立起来了
1192,可是自己儿子差点都不认我了
1199,说的简单
1200,要是让你重新选的话
1201,你还会选这条路的
1202,我现在真的是想 你还是别坐那么高的位子
1203,别升那么高的官
1204,还不如在一个大学里面踏踏实实的当个老师
1205,咱们一家子能和和美美的在一起多好
1206,你说你现在忙成这样
1207,当年你妈去世
1208,老太太为了见你最后一面
1209,硬是不咽最后一口气
1210,结果你还是没赶回来
1211,最后还是你儿子替你尽的孝
1213,好了
1214,一会还上班
1215,都过去了
1216,这些都不行啊
1224,当我跟你抢车
1225,那不是最后 这都进
1226,我闺女的肚子里 我不得给他把关
1227,不行就是不行
1233,谁知道
1235,脸都不要了
1236,还要什么面子
1278,我都挑出去扔垃圾桶里去了
1280,大晚上的 别吃零食了 抓紧时间  
1293,让人家送外卖的晾在外边那么长时间多不好
1297,这小子干嘛去了
1302,分班
1303,分什么班
1308,杨杨现在这个成绩不会考到慢班去吧
1309,慢班师资力量不行
1334,品什么啊 赶紧喝
1335,以后每天早上都有够你喝的 快
1349,早朝时间到了 你赶紧喝咖啡 好去批奏折去快快
1355,我知道你先躺好
1357,躺好
1362,这是高三不仅仅是孩子们的高三
1363,也是我们的高三
1364,你要一切行动听指挥
1365,一切措施保高考 听到没有
1375,你别说话
1376,我给你揉揉 有感觉 有感觉
1377,真有感觉了
1391,我也没想到他那么厉害
1396,你没生气吗
1408,我本来是想把你卷子找出来帮你先改着
1409,卷子不在里边
1410,这里面什么
1411,同学送的生日礼物
1414,咱哪有这时间
1429,就妈妈帮你保存
1430,行吗
1431,跟你爸去吃饭吧
1432,早去早回
1433,也要弄的太晚
1654,磊儿 你说什么呢 你背单词
1662,我就说一下
1663,你别发那么大火
1664,拜拜 表哥
1665,你帮我把这个 这个垫子抬起来
1668,别吵吵 给我抬起来
1669,我看看底下有什么东西
1684,那几本书你给拿出来
1690,难怪学习成绩不好
1699,这么小就看这个
1709,不行
1710,我得给他还回去
1728,我现在就得去还
1729,我告诉你 放这以后 他不定什么时候就玩
1740,那杂志 杂志也搁回去
1756,太没有斗争经验了
1858,别哭了
1871,这缺德的事儿我可干不了
1888,林少爷已经病入膏肓了
1889,你就给我几颗
1890,求求你
1894,我上课去了
1918,行了
1919,别说吃了
1929,宋茜现在是更年期了
1931,我确认过
1933,前两天我打算回去拿几张老照片
1983,宋倩警察你是犯罪嫌疑人不很明显吗
1986,来不及了
1987,他已经搁车上了
1988,他今儿就还给宋倩
1998,方圆
2001,好像我还没有原谅你
2022,谁说不求上进的就不会变坏
2023,很多不求上进的不都变坏了吗
2028,我再提醒你一遍
2029,在接受批评的时候麻烦你不要油嘴滑舌
2105,是
2106,你看
2127,以为 以为 没事
2129,行
2135,不好意思
2136,表哥我忘敲门了
2160,英子你停一下
2163,你看你高二一年都在天文馆做讲解员
2164,妈妈是不是一直都支持的
2165,妈妈知道那是你的爱好和理想
2166,妈妈是愿意支持的
2167,可咱们现在高三了
2183,行了
2184,去请个假好不好
2203,你过来
2204,妈妈跟你说
2205,我知道你不高兴了
2206,刚没收你乐高
2207,又不让你去天文馆
2208,可你不高兴我也不高兴
2209,你可能会说妈妈总拿高三来绑架你的人生
2210,你要是连高考都考不好
2211,还有什么人生我说
2212,说对吗
2215,你记得那天我给你做时间表的时候
2216,怎么跟你说的
2217,这一年的课外活动都得取消
2218,要说起来 我只答应过你高二
2219,没有说高三你还可以继续去天文馆的
2224,天文馆永远在 可高三的时间丢了
2225,你永远补不上的
2230,你记得那天我给你做时间表的时候
2231,怎么跟你说的
2232,这一年的课外活动都得取消
2233,要说起来我只答应过你高二
2234,没有说高三你还可以继续去天文馆的
2314,你知道方一凡他们家方叔叔就每天给方一凡当子弹
2315,我也想要个沙包
2374,不过这种事儿落到我妈身上
2375,他一句话不说
2376,直接就一顿胖揍
2377,他才不跟你那么多废话
2378,我倒觉得你跟你妈这样挺好的
2379,直来直去
2383,接着按
2388,我也想拥抱自由
2397,方猴
2400,行了
2401,晚自习去吧 享受你这唯一的自由时光
2436,一个半小时
2438,三小时
2534,我怎么又成榆木脑袋了
2550,什么后路
2559,小金 不是我说 你真的得好好学习学习 职场有职场的游戏规则
2560,在职场你记住了
2561,你再怎么恨对方
2562,再怎么被对方气着
2563,你都得忍
2564,你不能把你的底牌亮给对方
2565,你不能让对方知道你自己到底在想什么
2566,你得学会保护自己
2567,给自己留后路
2574,这个事赖我
2575,我太八卦了
2576,我就不该跟你说
2577,要不然你不方便开口
2578,我帮你去跟他说
2583,都在这儿 资料
2584,都在这儿
2590,不好意思
2591,我可能还是要再请一周的假
2624,行 我跟老大先说一下
2625,谢谢
2626,我也会跟老大说一声
2628,是
2641,说实话你走这三天
2642,我跟干了三个月的工作量一样累
2643,这小金每天加班到半夜都干不完
2644,还得我来
2648,别着急
2649,坐你先坐
2651,咱们是好姐妹
2652,所以我有必要先给你打个招呼
2653,是这样
2654,从下个月开始
2655,你的职位会有所调整
2656,有可能
2657,会降一级
2662,这是老大的意思
2663,不过说实话
2665,你说你连续请假 这罗杰都知道
2666,现在咱们最关键的时刻可偏偏在这个时候你连续的请假
2667,你你是撞到了枪眼上了
2668,也是赶巧啊
2672,顶替了你的位置
2895,你早说我早租了
2899,你不知道 凡凡跟他们家季杨杨分到一个班了
2900,都在一个基础班
2956,不过听英子说
2957,他好像一直都有女朋友
2958,那是 没有就不是他了
2959,就这德行 甭搭理他
2993,不是嘿
2994,人家是会过来一个团队
2995,各种人员人家都配齐了
2996,所以我们这边就显得有点人浮于事
3003,现在突然发生了变化
3004,人家过来的是一个团队
3005,这里面有法务部门
3006,这是谈判里的一项
3007,只能同意你说是吧
3011,不是调整
3012,准确的说是被替代
3013,你是公司老员工了
3014,贡献大成绩突出
3015,但是为了咱们公司的再发展
3016,只要委屈你了
3020,都安排好了
3021,我先跟你谈
3022,咱要顺利的话
3023,咱就办手续走程序
3024,发基本工资
3025,在一两个月里面你找下家
3026,是吧
3027,茶凉了 我再给你换一杯
3104,那么我还没弄懂
3105,你给我说
3106,你现在生一孩子怎么就对英子是背叛了什么意思
3112,我就这么跟你说
3113,什么时候
3114,等英子考上大学长大了
3115,英子什么时候结婚了生了孩子
3116,我再生
3121,小梦 甲醛过敏
3122,前一段时间来了
3123,得了一身疹子之后回去了
3124,你那不是老房子怎么还有甲醛
3125,我设计了一下
3126,小梦不是甲醛过敏吗
3127,我就把我那老房子重新粉刷了一下
3128,然后换了个地板
3129,然后挑了点有味的家具放里了
3139,如果他这房子想租给你
3140,就不应该跟你说他这房子不是有问题
3141,这不符合常理
3143,好
3144,我帮你好好分析一下
3145,我觉得宋倩跟你说
3146,他那房子风水的问题本身就是一个问题
3147,那是一个什么问题
3148,就是他不应该跟你说这个问题
3149,他不论想租给你还是不想租 问题
3150,都不应该说这风水有问题
3151,他因为跟你太熟了
3152,觉得熟人都抬不上价去
3153,又不好意思拒绝你了
3154,所以他才拿风水当借口
3155,是吧
3156,风水在哪 哪的风水
3157,方圆
3158,你贴上毛你就是猴
3166,你 小人之心度君子之腹
3167,人宋倩怎么就不能
3168,实心实意地想要租我房子
3169,并且诚心诚意告诉我这房子有问题
3178,我不是说我信这
3179,你心理暗示一旦你产生了
3180,你很难回避
3181,你说那套房子这么多租户住在里面
3182,这些孩子都没考好
3183,多多少少是不是会有一些负面的干扰
3184,我先不说是干扰还是风水
3185,总之是负面的
3186,对不对
3187,不对
3188,你跟我绕来绕去什么意思
3189,咱们说好的事情不能反悔
3190,不是反悔
3191,我就说像租房子这种大事
3192,咱家本来就有房子
3193,对吧
3194,劳民伤财的事
3195,你要是没想好
3196,再谨慎的考虑一下
3197,我想好了
3198,除了这个风水咱不说 人宋倩给我们打了8折
3199,七七八八下来一年便宜五六万
3202,共克什么时艰
3209,别拿那只鸡长得太凶
3210,面相不好那只面善
3222,你这是测试吗
3223,有没有标准答案
3237,还行
3238,没什么压力
3247,这只鸡给你炖
3248,行 有压力 这鸡大啊
3249,鸡大压力大
3306,不紧张
3309,对付你妈不先斩后奏怎么办
3310,你甭管了
3311,一会就踏踏实实的去
3312,有什么事老爸给你扛着
3345,我也回去
3353,那不是年轻人去的
3354,地方吗
3357,这些个东西我也不经常吃
3358,也不知道好吃不好吃
3359,杨杨你说了算
3370,看都没看 有什么好
3384,是啊
3385,好久了
3390,对
3391,都搬走好长时间了
3395,我那跟舅舅学的
3396,熟能生巧
3397,我觉得你也别硬学那东西
3398,我就是坐办公室坐惯了
3399,出来运动活动活动筋骨
3572,刚走了
3585,正好 我刚给你干洗的西装
3589,有必要 你要穿得体体面面地去
3590,你要让他们觉着就算他们不用你 你一样能混得非常好
3591,明白吗
3617,你这是胡搅蛮缠
3618,不是
3619,谁胡搅蛮缠了
3620,时代变了 就不得老寒腿了
3621,如人饮水
3622,冷暖自知
3623,我就喜欢穿秋裤
3742,我知道 确实是生病
3771,来你喝点水
3780,不用
3795,我就没想明白
3796,为什么体育课呢
3797,你就好混进去
3800,手好痛
3879,我去
3933,我不戴 我百毒不侵了
3934,我不用
3955,慢点喝
3956,要不一会就醉了
3959,工作啊
3969,你最喜欢谁
3970,张敏
3972,张敏
3973,演员
3974,我是说你最喜欢哪个剧中人
3998,方圆
3999,我觉得你大可不必这样
4000,你就跟我比
4001,我以前什么情况你又不是不了解
4002,做什么赔什么
4003,你这不算跌跟头
4004,我说一句不好听的
4005,你就是跌跟头跌少了
4006,再多跌几个跟头就好了
4011,你跌是多少岁的时候跌的
4012,你30来岁跌的
4013,对不对
4014,后来你就发家致富了
4043,他做大也跟我没什么关系
4044,也没享着他什么福
4051,我就是想让你放宽心
4052,别想了
4056,我觉得你可以提上来
4057,但是消费咱还是低消费 你把那钱直接给我就行了
4059,Yes
4060,记今朝
4061,苍天笑 纷纷世上潮
4064,我睡哪儿呢
4067,我热
4068,热得不行
4069,我以为到家了
4070,睡这儿了
4073,对不起
4074,我今天喝 喝一点
4080,为什么非常时期
4084,没事
4085,我醒了 好多了
4087,还能跟谁 乔卫东
4094,听见了
4095,我说今天 金庸死了
4096,我知道 看到新闻了
4109,你不是岳不群
4110,你怎么会是岳不群呢
4111,你要是岳不群 方一帆从哪来的
4112,我刚成岳不群
4113,我之前不是岳不群
4114,我这两个才到刚刚变成岳不群的
4115,刚刚变成岳不群的 是不是
4116,我本来就没想过自己是岳不群
4117,我觉得 我就算我没什么武功
4118,我老老实实做人
4119,我认认真真的工作
4120,我怎么我这事也不知道我怎么就这么倒霉
4135,走 起来 坐起来
4136,谁的皮鞋啊
4160,那是昨天 我现在好了
4173,今天学校早上有高分作文讲座
4174,我必须得去
4177,我先走了
4219,能瞒一天是一天
4222,什么
4223,假装上班
4224,老方子 对不对
4225,每天出去溜达去
4226,有什么不能瞒的
4231,我上马路上溜达什么 外边有的是地能溜达
4232,我上快餐店买一杯饮料
4233,我能坐一天
4234,实在不行我就上宜家去
4235,宜家里边不是暖和
4236,而且还有床可以躺着在上面睡觉
4237,旁边还有人跟你陪躺多好
4248,爸您这儿有茶吗
4249,大早上的喝什么茶
4258,哪得蘸点料
4280,跟我们老师请假了吗
4281,没呢
4305,耽误不了事
4316,爸
4447,我了解了
4450,是有点忙
4468,谢谢老师们的关心
4469,他要真有什么问题
4470,肯定也是我当妈的疏忽了
4471,抱歉
4477,谢谢
4478,都是我不好
4479,真是麻烦您 让您跑一趟
4682,对
4683,乔卫东是挺不是玩意的
4684,对吧
4685,挺孙子的
4686,也挺鸡贼的
4687,对
4688,还出轨
4690,是道德品质问题
4914,别别 天太冷了 我不去
4919,我这肚子怎么了
4940,我不
4967,回来了
5050,我也行
5058,是
5059,对
5060,这律所现在退休就50 50来岁就退了是吧
5083,我去我师弟那了
5084,怎么说
5085,他们那儿发展挺顺利的
5086,是吗
5088,没有 就弄得好
5089,他们公司 我跟你讲那公司 移动大楼里面有七八层是他们公司的 大律所
5090,我跟你说办公室装修的层高得有4米
5091,真的 屋里摆这种后现代的雕塑
5092,一看这名家创作的
5093,我那师弟西装革履
5094,身材管理的还特别好
5095,真是挺不错的
5097,跟我没什么关系
5098,跟我有什么关系
5099,我现在司考还没考
5100,我连律师证都没有
5101,我到那怎么着
5102,而且他说了我现在去了
5103,先得准备司考
5104,就算我再努力
5105,现在玩命考考下来了
5106,拿个律师证
5107,到那先当这个叫什么律师助理
5108,当律师助理干几年
5109,然后再当助理律师
5110,等我都能干到律师
5111,估计都快退休了
5112,是吧
5113,所以这事跟我没啥关系
5114,没戏
5116,我不是 我说 我的师弟的公司发展挺顺利的
5117,挺好的
5118,但是 我 跟我没什么关系
5119,我后来在路上还想了
5120,童文洁
5121,我45岁了
5122,45岁 我真的跟一帮小孩做助理 坐一块
5123,那帮孩子都20来岁
5124,20出头大学毕业
5125,你说他们见着我是叫我叔叔还是喊我大爷
5126,我还是算了
5127,我今天早上就说过这个话
5128,咱们跟80 90后没有什么竞争力
5129,知道吧
5148,你看我一共发了68条微信
5149,今儿
5150,你瞅瞅
5151,回复的25条
5152,之后回复了25 25条里边回表情的、笑脸的、ok的、微的、赞的
5153,去掉之后还剩7条是文字
5154,分别是
5155,好的
5156,保持联络
5161,人脉不是说你往前随便一溜达就碰到一个人
5162,你就有机会了
5163,人脉不是你认识多少人
5164,人脉是多少人认识你
5165,你知道吗
5166,不是说 你有这个多少事要央告着
5167,别人 是别人有多少事央告着你
5168,人脉就跟这一名片似的是吧
5169,发名片 人脉不是说你发出多少张名片
5170,老发名片是干嘛的
5171,房屋中介 搞销售的
5172,对不对
5173,你收名片 好好好
5174,你可以 这个好
5175,好好 这是领导 这是给人管事的
5176,这就跟印名片
5177,是一个道理 比如名片
5178,这名片 我就不多印
5179,就印俩字
5180,马云 啥也不用说
5181,马云 是吧
5182,姚明、黄渤
5183,这就你不需要再解释你是谁
5184,凭脸 人就知道了
5185,没本事的 你看你印仨字
5186,对吧
5187,印三字也可以
5188,比如说你 马化腾 还用介绍你是谁吗
5189,你换一人
5190,你比如说马诞腾
5191,不是 不是那蛋
5192,马诞腾 马年诞生必定飞腾
5193,马诞腾
5194,你写上顺义区养鱼协会会员
5195,平谷县蝈蝈协会的小组组长
5198,咱现在没人脉
5199,你扔一堆红包啥用没有
5200,我今天从我的师弟那个楼上一下来
5201,我坐在路边在想
5202,我也是一老帮菜了
5203,我怎么办
5204,我未来怎么办
5205,正在这时候一小伙子敲窗户
5206,把我当成开滴滴快车
5207,后来想热心肠 送了一段
5208,送的路上 我就琢磨
5209,其实实在不行了
5210,我就当个出租车司机去开个快车
5211,开个滴滴也挺好
5212,是不是 一个月也能万8000的
5214,我坚决不同意
5215,为什么要开车
5216,你就别歧视人
5217,司机 也不对
5227,我知道找工作找急了 不急
5228,刚开始 不许急
5229,听到没有
5274,着急是着急
5275,我觉得有一天我一定能找着一个工作
5276,这个工作我又喜欢
5277,又有意思
5278,又自由自在
5279,挣钱还多
5280,受人尊重
5282,是确实想多了
5283,媳妇
5284,你既然说你要养我
5285,今天我这800块钱你是不是给我报了
5312,不用打饭我不吃了
5313,谢谢
5333,你还有事
5388,你看看
5389,这是你儿子吧
5392,是这样
5393,我今天去医务室开降压药
5394,正好碰到孙大夫
5395,你认识他
5397,他说他的儿子跟你儿子是同班同学
5398,他说这张照片在他们班级里都传疯了
5399,这件事你知道吗
5401,老季
5402,主要是你儿子身后这部车是个豪车
5403,法拉利
5404,书记我先说明一下
5405,首先法拉利不是我们家杨杨的
5406,而且我也没给我儿子买过什么车
5407,不过 书记请您放心
5408,这个图的事我会了解一下
5409,然后给您做个汇报
5421,书记您放心
5422,我一定会妥善处理的
5438,我去了
5440,老师说打架不重要
5441,重要是蹲班的事儿
5501,刚才老季都说了
5502,这是个很妥善的方法
5503,孩子写了检查
5504,家长互相都知道了
5505,校长和老师都在这听着 这个事 校内解决了
5506,一旦传播出去
5507,一说 说这事怎么回事
5508,两边家长都承认了
5509,都知道这事儿
5510,俩孩子互相道歉了
5511,这车也不是他们家的就完了
5512,这你赶紧让方一凡写了
5530,我写
5531,怎么会让她写
5532,这不是我强项吗
5533,赶紧写检查去
5535,你先停一下
5536,表情包的事儿我跟你说一下
5560,表情包的事儿我跟你说一下
5566,不能明天说
5567,明天必须解决
5568,复习先放一放
5569,不耽误这一会
5573,杨杨 你不是孩子了
5574,遇到这种事情一定要严肃对待
5575,表情包的事情不是闹着玩的
5576,你要有敏感性
5577,明天我和你妈去学校
5578,方一凡的爸爸妈妈也会去学校的
5579,我们当着老师的面把这个事情正式处理了
5582,你说对了
5583,就是要请校长主持会议
5618,所以他是小孩
5619,他不懂事
5645,这个是什么
5646,他这个是小事情对吧
5647,但是对方是一一个比较敏感的人物
5648,所以我这样想 行了 你也别说
5653,你刚刚是真生气吗
5654,你就吓我一跳
5691,你赶快去洗个澡
5692,累一天了
5729,季杨杨那个事
5730,我怎么觉得这事有点太小题大做了
5731,一个表情包就是同学之间开玩笑而已
5732,没有必要搞得这么兴师动众
5774,我想给你道个歉
5775,我早知道你爸打那么狠
5776,我就不发这表情包了
5778,酷吗
5779,我都不知道自己在说什么
5782,不过话又说回来了
5783,我觉得吧稍微有点过分了
5784,当时那么多人在 看到你爸妈脸都青了
5785,谢谢了
5790,不过我今天也见识了 你爸的脾气真的是吓人
5791,是 我有时候也觉得 大人心思真的琢磨不懂
5792,搞不懂
5793,一开始我觉得你和我们还不是一路人
5794,想干嘛干嘛
5795,想吃什么想玩什么都可以
5796,后来我就觉得你也有你的难处是吧
5797,当儿子也挺难的
5798,走了
5814,没事
5820,你是不是哪不舒服
5821,这两天光想着儿子了
5822,忘了问你去医院检查了吗
5825,要不你跟我一块去
5826,明天上班 跟办公室说一声
5827,约个周末体检 给你约个全身检查
5828,我们定点医院
5829,服务还不错
5830,自费呢 也不贵 做个全身检查放心点
5902,经过这一晚上
5903,我突然好爱你
5904,爱我们的孩子
5905,我突然觉得生命好脆弱
5906,人生好短暂
5907,好好珍惜
5908,好好爱你们 珍惜你们
5909,还有磊儿
5910,我们一家人永远不要分开
5911,一家人在一起
5912,最重要的就是齐齐整整
5913,整整齐齐
5914,媳妇儿 你看 这万户千家
5915,万家灯火的 你说人这一辈子图什么
5916,国泰民安
5917,相安无事的活着
5918,挺好的
5919,只要一家人在一起永远不分开
5926,妈
5987,其实妈妈也可以准备油条豆腐脑的
5988,不是 我就吃您做的就行了
6028,是吧
6056,不是
6057,我是昨天那酒有点恶心
6060,你不是要上班吗
6061,你快点走
6062,别迟到了
6064,我没问题
6066,我自己来就行
6067,你不用管我了
6074,路上小心
6076,没问题
6133,让你失望了
6134,我其实也会骂杨杨
6145,每一家都有他自己要去解决的题
6146,我想你妈妈替你挡住的可能比她告诉你的要多得多
6147,所以别去那样说
6148,你妈妈 他要是知道了
6149,得多伤心
6150,慢慢的你就会懂了
6151,这些事 宇宙他教不了你
6257,喂
6258,对对对 我问一下成绩
6262,多少分
6289,先把披萨饼吃了去
6290,我给你打包回来了
6292,快点起来
6293,爸爸把饼都给你热过了
6294,你不是想吃一披萨吗
6295,我给你买回来了
6296,我给你点了一新的
6452,我说不出口
6456,我不说
6470,我今天给杨杨他们老师打过电话了
6471,期中考的成绩出来了
6473,449
6474,跟以前基本持平
6481,我倒是觉得这孩子的考试成绩没那么重要
6482,只要开开心心的快快乐乐的就够了
6495,你放心 头疼
6496,你也歇着
6499,洗手
6502,你自己吃 我不太有胃口
6504,我知道
6506,我知道你没考好
6507,你考了多少分
6509,600多少
6511,620多
6512,在你们区里排第几
6515,进5%了
6516,进10%了
6517,那是进多少了
6519,进15%了，能考什么样的学校
6579,你说你嘴皮子这么溜
6580,为什么你最后去了政法大学
6585,怎么会呢
6586,你这么优秀
6587,这老师怎么会不让你过呢
6644,我跟你说
6645,方一凡艺考的事儿就此打住吧
6646,你看看人王一笛 说跳舞就跳
6647,说唱歌就唱歌
6648,落落大方
6676,我跟你讲
6677,他不靠谱
6741,半夜才睡着的
6809,我不吃
6834,我个人没有别的想法
6835,请领导放心
6836,但是陈书记我想确认一下
6837,这次是不是因为我儿子那张图的事
6838,我儿子那张图的事儿
6839,学校已经给了明确的处理
6840,再说那辆法拉利确实不是我们家的
6847,了解
6850,明白
6851,谢谢书记
6915,我知道你们换了课 换了老师
6916,也看到了你们的差评表
6918,对
6919,是我们给你打的
6928,我们也没办法
6929,但是既然你说到这一点小梦
6930,我真的善意的提醒你
6931,你现在爱情物质都有了
6932,双丰收了
6933,离宋倩她女儿远一点
6934,他现在就这一个女儿
6935,人家都说了
6936,你是他跟他女儿之间的第三者是小三
6937,我劝你别刺激他了
7067,阿姨我不该跟你说这个的
7106,其实也不算是手术 就是检查的一个部分
7107,但是需要住两天的医院
7127,好吧
7194,给英子
7195,就是说约英子吃饭的事
7257,怎么这么晚才回来
7275,也是
7276,不说这事了
7277,我跟你说方一凡的事
7278,我今天跟他谈过了
7279,他同意了
7280,不参加艺考
7281,踏踏实实参加高考
7283,不需要跟你商量
7284,你肯定会同意的
7285,你说咱们家又不是艺术世家
7286,方一凡又没有什么艺术细胞
7287,干嘛去凑热闹
7288,真的
7289,而且我今天都打听清楚了
7290,艺考是要提前准备的
7291,因为这个艺考是要提前考的
7292,你知道吗
7293,他提前好几个月了
7294,你现在来不及
7295,你看看
7296,什么东西
7297,你自己看看录取比例
7298,你看看
7299,录取比例195:1
7300,这有点难
7301,这不是有点难
7302,这是非常难
7303,这么低的录取比例这么难
7304,他怎么能考上呢
7305,咱们说方一凡现在参加艺考两条路两个结果
7306,一个是考上
7307,一个考不上
7308,我先不说他考上了
7309,他要是考不上明年怎么办
7310,明年是继续艺考还是继续高考
7311,你告诉我
7312,咱退一万步说就算他考上了
7313,你觉得你儿子将来真能当演员
7314,当什么表演艺术家
7315,歌唱家
7316,他是这块料吗
7317,他不是这块料
7318,不要做这个梦了
7319,对了
7320,今天陈姐给我介绍的指导老师你猜是谁
7323,人家女朋友不是小老婆
7340,有关系
7341,这小梦不也就是什么艺术院校毕业的又怎么样
7346,这男的也没有教瑜伽的
7351,你跟人方一凡商量说他不跟你急
7353,我给他看数据了
7354,有什么好急的
7355,我给他摆事实讲道理
7356,他听完以后老老实实的就去房间里面写作业了
7370,也是 录取率是太低了
7371,对
7372,你以后也是别在家里边再提艺考了
7373,行
7374,我洗澡去了
7392,理解不了
7395,这样 要不我再给你跳一个
